substrate,substrate_conductivity_s_m,aln_conductivity_s_m,aln_conductance_ratio,pinhole_fraction,metal_conductance_ratio,effective_conductance_ratio,current_closure_proxy,worst_case_lorentz_drag_proxy,mhd_performance_only
molybdenum,18700000.0,1e-07,1.2499999999999999e-16,0.0001,0.116875,1.168750000012499e-05,1.1687363404065204e-05,13.463842641483115,True
molybdenum,18700000.0,1e-07,1.2499999999999999e-16,0.001,0.116875,0.00011687500000012488,0.0001168613418307984,134.62426578907974,True
molybdenum,18700000.0,1e-07,1.2499999999999999e-16,0.01,0.116875,0.001168750000000124,0.0011673856180590173,1344.828232003988,True
molybdenum,18700000.0,1e-07,1.2499999999999999e-16,0.1,0.116875,0.011687500000000114,0.011552480385494645,13308.457404089831,True
molybdenum,18700000.0,1e-06,1.25e-15,0.0,0.116875,1.25e-15,1.2499999999999984e-15,1.4399999999999981e-09,True
molybdenum,18700000.0,1e-06,1.25e-15,1e-07,0.116875,1.1687501249999875e-08,1.1687501113402192e-08,0.013464001282639325,True
molybdenum,18700000.0,1e-06,1.25e-15,1e-06,0.116875,1.1687500124999875e-07,1.1687498759023443e-07,0.13463998570395005,True
molybdenum,18700000.0,1e-06,1.25e-15,1e-05,0.116875,1.1687500012499877e-06,1.1687486352750187e-06,1.3463984278368215,True
molybdenum,18700000.0,1e-06,1.25e-15,0.0001,0.116875,1.1687500001249876e-05,1.1687363405190062e-05,13.463842642778951,True
molybdenum,18700000.0,1e-06,1.25e-15,0.001,0.116875,0.00011687500000124875,0.00011686134183192199,134.62426579037412,True
molybdenum,18700000.0,1e-06,1.25e-15,0.01,0.116875,0.0011687500000012376,0.0011673856180601284,1344.8282320052679,True
molybdenum,18700000.0,1e-06,1.25e-15,0.1,0.116875,0.011687500000001128,0.011552480385495634,13308.45740409097,True
molybdenum,18700000.0,1e-05,1.25e-14,0.0,0.116875,1.25e-14,1.2499999999999844e-14,1.4399999999999821e-08,True
molybdenum,18700000.0,1e-05,1.25e-14,1e-07,0.116875,1.168751249999875e-08,1.1687512363400802e-08,0.013464014242637724,True
molybdenum,18700000.0,1e-05,1.25e-14,1e-06,0.116875,1.168750124999875e-07,1.1687499884022055e-07,0.13463999866393409,True
molybdenum,18700000.0,1e-05,1.25e-14,1e-05,0.116875,1.1687500124998753e-06,1.16874864652488e-06,1.3463984407966618,True
molybdenum,18700000.0,1e-05,1.25e-14,0.0001,0.116875,1.1687500012498752e-05,1.1687363416438676e-05,13.463842655737356,True
molybdenum,18700000.0,1e-05,1.25e-14,0.001,0.116875,0.00011687500001248751,0.00011686134184315814,134.62426580331817,True
molybdenum,18700000.0,1e-05,1.25e-14,0.01,0.116875,0.0011687500000123752,0.00116738561807124,1344.8282320180685,True
molybdenum,18700000.0,1e-05,1.25e-14,0.1,0.116875,0.011687500000011251,0.011552480385505527,13308.457404102368,True
molybdenum,18700000.0,0.0001,1.25e-13,0.0,0.116875,1.25e-13,1.2499999999998437e-13,1.43999999999982e-07,True
molybdenum,18700000.0,0.0001,1.25e-13,1e-07,0.116875,1.16876249999875e-08,1.1687624863386921e-08,0.013464143842621732,True
molybdenum,18700000.0,0.0001,1.25e-13,1e-06,0.116875,1.16875124999875e-07,1.1687511134008177e-07,0.1346401282637742,True
molybdenum,18700000.0,0.0001,1.25e-13,1e-05,0.116875,1.1687501249987502e-06,1.1687487590234921e-06,1.346398570395063,True
molybdenum,18700000.0,0.0001,1.25e-13,0.0001,0.116875,1.1687500124987502e-05,1.1687363528924796e-05,13.463842785321365,True
molybdenum,18700000.0,0.0001,1.25e-13,0.001,0.116875,0.00011687500012487501,0.00011686134195551938,134.62426593275833,True
molybdenum,18700000.0,0.0001,1.25e-13,0.01,0.116875,0.00116875000012375,0.0011673856181823549,1344.8282321460729,True
molybdenum,18700000.0,0.0001,1.25e-13,0.1,0.116875,0.011687500000112502,0.011552480385604452,13308.457404216328,True
molybdenum,18700000.0,0.001,1.2500000000000001e-12,0.0,0.116875,1.2500000000000001e-12,1.2499999999984379e-12,1.4399999999982005e-06,True
molybdenum,18700000.0,0.001,1.2500000000000001e-12,1e-07,0.116875,1.1688749999874999e-08,1.1688749863248125e-08,0.013465439842461839,True
molybdenum,18700000.0,0.001,1.2500000000000001e-12,1e-06,0.116875,1.1687624999875e-07,1.1687623633869379e-07,0.13464142426217524,True
molybdenum,18700000.0,0.001,1.2500000000000001e-12,1e-05,0.116875,1.1687512499875002e-06,1.1687498840096124e-06,1.3463998663790735,True
molybdenum,18700000.0,0.001,1.2500000000000001e-12,0.0001,0.116875,1.1687501249875001e-05,1.1687364653786001e-05,13.463844081161474,True
molybdenum,18700000.0,0.001,1.2500000000000001e-12,0.001,0.116875,0.00011687500124875001,0.0001168613430791317,134.62426722715972,True
molybdenum,18700000.0,0.001,1.2500000000000001e-12,0.01,0.116875,0.0011687500012375,0.0011673856192935062,1344.8282334261191,True
molybdenum,18700000.0,0.001,1.2500000000000001e-12,0.1,0.116875,0.011687500001125001,0.011552480386593691,13308.457405355932,True
