time_s,mean_velocity_m_per_s,bend_inboard_velocity_m_per_s,bend_outboard_velocity_m_per_s,pressure_drop_pa,relative_update,courant
9.800000000000e+00,1.998165132556e-01,1.886354708203e-01,2.033576039367e-01,2.636486765742e+04,2.177219957130e-10,5.099980328875e-01
9.850000000000e+00,1.998165132945e-01,1.886354708570e-01,2.033576039763e-01,2.636486766258e+04,1.965692165724e-10,5.099980329869e-01
9.900000000000e+00,1.998165133296e-01,1.886354708901e-01,2.033576040121e-01,2.636486766724e+04,1.774714026652e-10,5.099980330765e-01
9.950000000000e+00,1.998165133613e-01,1.886354709201e-01,2.033576040444e-01,2.636486767144e+04,1.602288081469e-10,5.099980331575e-01
1.000000000000e+01,1.998165133900e-01,1.886354709471e-01,2.033576040735e-01,2.636486767524e+04,1.446616895387e-10,5.099980332306e-01
1.005000000000e+01,1.998165134158e-01,1.886354709715e-01,2.033576040998e-01,2.636486767866e+04,1.306069719997e-10,5.099980332966e-01
1.010000000000e+01,1.998165134391e-01,1.886354709936e-01,2.033576041236e-01,2.636486768176e+04,1.179181104220e-10,5.099980333562e-01
1.015000000000e+01,1.998165134602e-01,1.886354710135e-01,2.033576041450e-01,2.636486768455e+04,1.064613389869e-10,5.099980334100e-01
1.020000000000e+01,1.998165134793e-01,1.886354710314e-01,2.033576041644e-01,2.636486768708e+04,9.611803255485e-11,5.099980334586e-01
1.025000000000e+01,1.998165134964e-01,1.886354710476e-01,2.033576041818e-01,2.636486768935e+04,8.677956716947e-11,5.099980335024e-01
1.030000000000e+01,1.998165135119e-01,1.886354710623e-01,2.033576041976e-01,2.636486769141e+04,7.834843129947e-11,5.099980335420e-01
1.035000000000e+01,1.998165135259e-01,1.886354710755e-01,2.033576042119e-01,2.636486769326e+04,7.073655897512e-11,5.099980335777e-01
1.040000000000e+01,1.998165135386e-01,1.886354710874e-01,2.033576042247e-01,2.636486769494e+04,6.386407964028e-11,5.099980336100e-01
1.045000000000e+01,1.998165135500e-01,1.886354710982e-01,2.033576042364e-01,2.636486769645e+04,5.765917924715e-11,5.099980336391e-01
1.050000000000e+01,1.998165135603e-01,1.886354711079e-01,2.033576042468e-01,2.636486769782e+04,5.205740572965e-11,5.099980336654e-01
1.055000000000e+01,1.998165135696e-01,1.886354711167e-01,2.033576042563e-01,2.636486769905e+04,4.699972432900e-11,5.099980336892e-01
1.060000000000e+01,1.998165135780e-01,1.886354711246e-01,2.033576042649e-01,2.636486770017e+04,4.243348993090e-11,5.099980337106e-01
1.065000000000e+01,1.998165135856e-01,1.886354711318e-01,2.033576042726e-01,2.636486770117e+04,3.831078020180e-11,5.099980337300e-01
1.070000000000e+01,1.998165135924e-01,1.886354711383e-01,2.033576042796e-01,2.636486770208e+04,3.458867339948e-11,5.099980337475e-01
1.075000000000e+01,1.998165135986e-01,1.886354711441e-01,2.033576042858e-01,2.636486770290e+04,3.122813713054e-11,5.099980337633e-01
1.080000000000e+01,1.998165136042e-01,1.886354711494e-01,2.033576042915e-01,2.636486770364e+04,2.819416725569e-11,5.099980337775e-01
1.085000000000e+01,1.998165136092e-01,1.886354711541e-01,2.033576042967e-01,2.636486770431e+04,2.545495445793e-11,5.099980337904e-01
1.090000000000e+01,1.998165136138e-01,1.886354711584e-01,2.033576043013e-01,2.636486770491e+04,2.298188424247e-11,5.099980338020e-01
1.095000000000e+01,1.998165136179e-01,1.886354711623e-01,2.033576043055e-01,2.636486770545e+04,2.074912022081e-11,5.099980338125e-01
1.100000000000e+01,1.998165136216e-01,1.886354711658e-01,2.033576043092e-01,2.636486770595e+04,1.873304848949e-11,5.099980338219e-01
1.105000000000e+01,1.998165136250e-01,1.886354711690e-01,2.033576043126e-01,2.636486770639e+04,1.691311106199e-11,5.099980338305e-01
1.110000000000e+01,1.998165136280e-01,1.886354711718e-01,2.033576043157e-01,2.636486770679e+04,1.526986119429e-11,5.099980338382e-01
1.115000000000e+01,1.998165136307e-01,1.886354711744e-01,2.033576043185e-01,2.636486770715e+04,1.378621353271e-11,5.099980338452e-01
