field_scale,station_m,b_perp_t,hartmann,total_pressure_drop_pa,hydraulic_pressure_drop_pa,mhd_pressure_drop_pa,curvature_pressure_drop_pa,total_pressure_gradient_pa_per_m
1.000000000000e+01,2.250000000000e+00,4.493644088507e-01,1.129684606725e+03,4.847929416600e+03,2.472337608283e+01,4.823022133071e+03,1.839074465679e-01,1.118647389342e+04
1.000000000000e+01,2.269771863834e+00,4.493643343449e-01,1.129684419420e+03,5.069225122167e+03,2.494063262747e+01,5.043807361634e+03,4.771279048961e-01,1.119843705077e+04
1.000000000000e+01,2.289543727669e+00,4.493644088507e-01,1.129684606725e+03,5.290660991502e+03,2.515788917211e+01,5.264592590198e+03,9.105121318421e-01,1.120065199720e+04
1.000000000000e+01,2.309315591503e+00,4.493643343449e-01,1.129684419420e+03,5.512118721040e+03,2.537514571674e+01,5.485377818762e+03,1.365756561600e+00,1.120064829428e+04
1.000000000000e+01,2.329087455338e+00,4.493644088507e-01,1.129684606725e+03,5.733576450578e+03,2.559240226138e+01,5.706163047326e+03,1.821000991357e+00,1.120065199720e+04
1.000000000000e+01,2.348859319172e+00,4.493643343449e-01,1.129684419420e+03,5.955034180117e+03,2.580965880602e+01,5.926948275889e+03,2.276245421115e+00,1.120064829428e+04
1.000000000000e+01,2.368631183006e+00,4.493643343449e-01,1.129684419420e+03,6.176491873048e+03,2.602691535066e+01,6.147733467846e+03,2.731489850873e+00,1.120064829428e+04
1.000000000000e+01,2.388403046841e+00,4.493642970920e-01,1.129684325768e+03,6.397949547676e+03,2.624417189530e+01,6.368518641500e+03,3.186734280630e+00,1.120064644282e+04
1.000000000000e+01,2.408174910675e+00,4.493643343449e-01,1.129684419420e+03,6.619407222304e+03,2.646142843994e+01,6.589303815154e+03,3.641978710388e+00,1.120064829428e+04
1.000000000000e+01,2.427946774510e+00,4.493643715978e-01,1.129684513073e+03,6.840864933539e+03,2.667868498457e+01,6.810089025414e+03,4.097223140146e+00,1.120065014574e+04
1.000000000000e+01,2.447718638344e+00,4.493643715978e-01,1.129684513073e+03,7.062322663077e+03,2.689594152921e+01,7.030874253978e+03,4.552467569903e+00,1.120065014574e+04
1.000000000000e+01,2.467490502178e+00,4.493642970920e-01,1.129684325768e+03,7.283780356008e+03,2.711319807385e+01,7.251659445935e+03,5.007711999661e+00,1.120064644282e+04
1.000000000000e+01,2.487262366013e+00,4.493644088507e-01,1.129684606725e+03,7.505238067243e+03,2.733045461849e+01,7.472444656195e+03,5.462956429419e+00,1.120065199720e+04
1.000000000000e+01,2.507034229847e+00,4.493643343449e-01,1.129684419420e+03,7.726695796781e+03,2.754771116313e+01,7.693229884759e+03,5.918200859176e+00,1.120064829428e+04
1.000000000000e+01,2.526806093681e+00,4.493643343449e-01,1.129684419420e+03,7.948153489713e+03,2.776496770777e+01,7.914015076716e+03,6.373445288934e+00,1.120064829428e+04
1.000000000000e+01,2.546577957516e+00,4.493642970920e-01,1.129684325768e+03,8.169611164341e+03,2.798222425240e+01,8.134800250369e+03,6.828689718692e+00,1.120064644282e+04
1.000000000000e+01,2.566349821350e+00,4.493643715978e-01,1.129684513073e+03,8.391068857272e+03,2.819948079704e+01,8.355585442326e+03,7.283934148449e+00,1.120065014574e+04
1.000000000000e+01,2.586121685185e+00,4.493642970920e-01,1.129684325768e+03,8.612526550203e+03,2.841673734168e+01,8.576370634283e+03,7.739178578207e+00,1.120064644282e+04
1.000000000000e+01,2.605893549019e+00,4.493643715978e-01,1.129684513073e+03,8.833984243135e+03,2.863399388632e+01,8.797155826240e+03,8.194423007965e+00,1.120065014574e+04
1.000000000000e+01,2.625665412853e+00,4.493643343449e-01,1.129684419420e+03,9.055441954369e+03,2.885125043096e+01,9.017941036501e+03,8.649667437722e+00,1.120064829428e+04
1.000000000000e+01,2.645437276688e+00,4.493642970920e-01,1.129684325768e+03,9.276899628997e+03,2.906850697560e+01,9.238726210154e+03,9.104911867480e+00,1.120064644282e+04
1.000000000000e+01,2.665209140522e+00,4.493643715978e-01,1.129684513073e+03,9.498357321929e+03,2.928576352023e+01,9.459511402111e+03,9.560156297238e+00,1.120065014574e+04
1.000000000000e+01,2.684981004357e+00,4.493643715978e-01,1.129684513073e+03,9.719815051467e+03,2.950302006487e+01,9.680296630675e+03,1.001540072700e+01,1.120065014574e+04
1.000000000000e+01,2.704752868191e+00,4.493643343449e-01,1.129684419420e+03,9.941272762702e+03,2.972027660951e+01,9.901081840936e+03,1.047064515675e+01,1.120064829428e+04
1.000000000000e+01,2.724524732025e+00,4.493643343449e-01,1.129684419420e+03,1.016273045563e+04,2.993753315415e+01,1.012186703289e+04,1.092588958651e+01,1.120064829428e+04
1.000000000000e+01,2.744296595860e+00,4.493643343449e-01,1.129684419420e+03,1.038418814856e+04,3.015478969879e+01,1.034265222485e+04,1.138113401627e+01,1.120064829428e+04
1.000000000000e+01,2.764068459694e+00,4.493643715978e-01,1.129684513073e+03,1.060564585980e+04,3.037204624342e+01,1.056343743511e+04,1.183637844603e+01,1.120065014574e+04
1.000000000000e+01,2.783840323529e+00,4.493643715978e-01,1.129684513073e+03,1.082710358934e+04,3.058930278806e+01,1.078422266367e+04,1.229162287578e+01,1.120065014574e+04
1.000000000000e+01,2.803612187363e+00,4.493643715978e-01,1.129684513073e+03,1.104856131888e+04,3.080655933270e+01,1.100500789224e+04,1.274686730554e+01,1.120065014574e+04
1.000000000000e+01,2.823384051197e+00,4.493643715978e-01,1.129684513073e+03,1.127001904841e+04,3.102381587734e+01,1.122579312080e+04,1.320211173530e+01,1.120065014574e+04
1.000000000000e+01,2.843155915032e+00,4.493643715978e-01,1.129684513073e+03,1.149147677795e+04,3.124107242198e+01,1.144657834936e+04,1.365735616506e+01,1.120065014574e+04
1.000000000000e+01,2.862927778866e+00,4.493643343449e-01,1.129684419420e+03,1.171293448919e+04,3.145832896662e+01,1.166736355963e+04,1.411260059481e+01,1.120064829428e+04
1.000000000000e+01,2.882699642700e+00,4.493643715978e-01,1.129684513073e+03,1.193439220042e+04,3.167558551125e+01,1.188814876989e+04,1.456784502457e+01,1.120065014574e+04
