station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
3.317680597305e+00,1.077810937500e+01,3.645522465846e-02,1.071707086923e+01,2.458322443684e-02
3.337452411652e+00,1.092008398437e+01,3.667248063376e-02,1.085837303189e+01,2.503846777709e-02
3.357224464417e+00,1.106206054687e+01,3.688973922884e-02,1.099967689362e+01,2.549371660689e-02
3.376996278763e+00,1.120403515625e+01,3.710699520414e-02,1.114097909489e+01,2.594895994714e-02
3.396768093109e+00,1.134600976563e+01,3.732425117944e-02,1.128228130100e+01,2.640420328739e-02
3.416539907455e+00,1.148798437500e+01,3.754150715474e-02,1.142358350710e+01,2.685944662764e-02
3.436311721802e+00,1.162995898437e+01,3.775876313004e-02,1.156488568907e+01,2.731468996789e-02
3.456083774567e+00,1.177193554687e+01,3.797602172512e-02,1.170618953149e+01,2.776993879769e-02
3.475855588913e+00,1.191391015625e+01,3.819327770042e-02,1.184749169415e+01,2.822518213794e-02
3.495627403259e+00,1.205588476563e+01,3.841053367572e-02,1.198879387612e+01,2.868042547818e-02
3.515399217606e+00,1.219785937500e+01,3.862778965102e-02,1.213009607740e+01,2.913566881843e-02
3.535171031952e+00,1.233983398437e+01,3.884504562632e-02,1.227139830281e+01,2.959091215868e-02
3.554943084717e+00,1.248181054687e+01,3.906230422140e-02,1.241270221281e+01,3.004616098848e-02
3.574714899063e+00,1.262378515625e+01,3.927956019670e-02,1.255400439478e+01,3.050140432873e-02
3.594486713409e+00,1.276575976563e+01,3.949681617200e-02,1.269530657675e+01,3.095664766898e-02
3.614258527756e+00,1.290773535156e+01,3.971407214730e-02,1.283660876354e+01,3.141189100923e-02
3.634030580521e+00,1.304971093750e+01,3.993133074238e-02,1.297791267354e+01,3.186713983903e-02
3.653802394867e+00,1.319168652344e+01,4.014858671768e-02,1.311921489896e+01,3.232238317928e-02
3.673574209213e+00,1.333366113281e+01,4.036584269298e-02,1.326051712437e+01,3.277762651953e-02
3.693346023560e+00,1.347563574219e+01,4.058309866828e-02,1.340181934978e+01,3.323286985977e-02
