station_m,b_perp_t,hartmann,pressure_drop_pa,total_pressure_gradient_pa_per_m
4.958745345311e+00,3.594914674759e-01,9.037475355363e+02,2.256203772650e+04,7.180659598713e+03
4.978517209146e+00,3.594914674759e-01,9.037475355363e+02,2.270401275032e+04,7.180659598713e+03
4.998289072980e+00,3.594915270805e-01,9.037476853801e+02,2.284598779758e+04,7.180661968580e+03
5.018060936815e+00,3.594914674759e-01,9.037475355363e+02,2.298796284483e+04,7.180659598713e+03
5.037832800649e+00,3.594915270805e-01,9.037476853801e+02,2.312993789209e+04,7.180661968580e+03
5.057604664483e+00,3.594914674759e-01,9.037475355363e+02,2.327189107914e+04,7.178448355201e+03
5.077376528318e+00,3.594915270805e-01,9.037476853801e+02,2.341370410243e+04,7.166483864806e+03
5.109066669163e+00,3.587056398392e-01,9.017719954907e+02,2.364019810810e+04,7.127804493546e+03
5.140756810008e+00,3.563582599163e-01,8.958707738702e+02,2.386458659203e+04,7.033602047553e+03
5.172446950853e+00,3.524797558784e-01,8.861203659109e+02,2.408507346621e+04,6.881569567366e+03
5.204137091698e+00,3.471199572086e-01,8.726460409907e+02,2.429986575450e+04,6.674210404644e+03
5.235827232543e+00,3.403469324112e-01,8.556189206760e+02,2.450729248243e+04,6.416720869562e+03
5.267517373388e+00,3.322452008724e-01,8.352514834093e+02,2.470586453925e+04,6.115382271850e+03
5.299207514233e+00,3.229138851166e-01,8.117929193525e+02,2.489430502127e+04,5.777305926368e+03
5.330897655078e+00,3.124642670155e-01,7.855229867933e+02,2.507157095069e+04,5.410143841479e+03
5.362587795923e+00,3.010174036026e-01,7.567460183951e+02,2.523686588082e+04,5.021802860270e+03
5.394277936769e+00,2.887014448643e-01,7.257841782277e+02,2.538964348606e+04,4.620161559097e+03
5.425968077614e+00,2.756490111351e-01,6.929708686426e+02,2.552960260003e+04,4.212813634037e+03
5.457658218459e+00,2.619946599007e-01,6.586443619132e+02,2.565667468164e+04,3.806846627598e+03
5.489348359304e+00,2.478724122047e-01,6.231415817192e+02,2.577100490318e+04,3.408660687238e+03
5.521038500149e+00,2.334135323763e-01,5.867925214666e+02,2.587292826572e+04,3.023835970578e+03
5.552728640994e+00,2.187444418669e-01,5.499149997565e+02,2.596294222639e+04,2.657045103023e+03
5.584418781839e+00,2.039851546288e-01,5.128107269864e+02,2.604167738170e+04,2.312018032131e+03
5.616108922684e+00,1.892476379871e-01,4.757611846473e+02,2.610986755124e+04,1.991539334297e+03
5.647799063529e+00,1.746349483728e-01,4.390254525889e+02,2.616832051985e+04,1.697492462331e+03
5.679489204374e+00,1.602402329445e-01,4.028376991369e+02,2.621789047557e+04,1.430922520800e+03
5.711179345219e+00,1.461462676525e-01,3.674060198039e+02,2.625945286444e+04,1.192126021794e+03
5.742869486064e+00,1.324253529310e-01,3.329121750629e+02,2.629388232018e+04,9.807551848174e+02
5.774559626909e+00,1.191391274333e-01,2.995111220853e+02,2.632203392143e+04,7.959236493598e+02
5.806249767754e+00,1.063388809562e-01,2.673318014211e+02,2.634472789475e+04,6.363182225944e+02
5.837939908599e+00,9.406603872776e-02,2.364783544788e+02,2.636273778201e+04,5.003057733468e+02
5.869630049445e+00,8.235255628824e-02,2.070311162409e+02,2.637678182912e+04,3.860296442025e+02
5.901320190290e+00,7.122163474560e-02,1.790484133883e+02,2.638751731175e+04,2.914985925956e+02
5.933010331135e+00,6.068852916360e-02,1.525685965568e+02,2.639553748516e+04,2.146634628818e+02
5.964700471980e+00,5.076117813587e-02,1.276116230611e+02,2.640137073669e+04,1.534795226254e+02
5.996390612825e+00,4.144110530615e-02,1.041813232823e+02,2.640548154985e+04,1.059584632054e+02
6.028080753670e+00,3.272423148155e-02,8.226744228848e+01,2.640827291309e+04,7.020757267894e+01
